id,Foundation,FirstFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,SalePrice
0,2,856,2,0,0,2,2,61,2003.0,2,7,2,14,548,8,2,1710,14,65.0,208500
1,1,1262,3,1,0,2,2,0,1976.0,3,6,0,41,460,6,2,1262,41,80.0,181500
2,2,920,2,1,0,2,2,42,2001.0,2,7,2,16,608,6,2,1786,15,68.0,223500
3,0,961,2,1,2,1,3,35,1998.0,3,7,0,102,642,7,3,1717,47,60.0,140000
4,2,1145,2,1,0,2,2,84,2000.0,2,8,2,17,836,9,3,2198,17,84.0,250000
5,5,796,3,0,0,1,2,30,1993.0,3,5,2,24,480,5,2,1362,22,85.0,143000
6,2,1694,2,1,0,2,0,57,2004.0,2,8,2,13,636,7,2,1694,12,75.0,307000
7,1,1107,3,2,0,2,2,204,1973.0,3,7,0,44,484,7,2,2090,44,70.04995836802665,200000
8,0,1022,3,2,2,2,3,0,1931.0,3,7,5,86,468,8,2,1774,67,51.0,129900
9,0,1077,3,2,0,1,3,4,1939.0,3,5,2,78,205,5,1,1077,67,50.0,118000
10,1,1040,3,0,0,1,3,0,1965.0,3,5,4,52,384,5,1,1040,52,70.0,129500
11,2,1182,0,2,0,3,0,21,2005.0,0,9,2,12,736,11,3,2324,11,85.0,345000
12,1,912,3,0,4,1,3,0,1962.0,3,5,0,55,352,4,1,912,55,70.04995836802665,144000
13,2,1494,2,1,0,2,2,33,2006.0,2,7,5,11,840,7,3,1494,10,91.0,279500
14,1,1253,3,1,4,1,3,213,1960.0,3,6,1,57,352,5,1,1253,57,70.04995836802665,157000
15,0,854,3,0,0,1,3,112,1991.0,3,7,5,88,576,5,2,854,16,51.0,132000
16,1,1004,3,1,0,1,3,0,1970.0,3,6,0,47,480,5,2,1004,47,70.04995836802665,149000
17,3,1296,3,0,4,2,3,0,1967.0,3,4,5,50,516,6,2,1296,50,72.0,90000
18,2,1114,2,0,0,1,3,102,2004.0,3,5,2,13,576,6,2,1114,13,66.0,159000
